id,text
citation_001,"Blackface minstrel shows have been defined as “a form of expropriation, by which Black people were divested of their own cultural representation, through the business of staging or manufacturing race.” Eric Lott, ""‘The Seeming Counterfeit’: Racial Politics and Early Blackface Minstrelsy,"" <em>American Quarterly</em> 43, no. 2 (1991): 223–54, https://doi.org/10.2307/2712925."
citation_002,"“Spokane ‘The Playground of the Nation,’” <em>Algemeen Handelsblad</em> (Amsterdam), evening ed., January 31, 1931, Koninklijke Bibliotheek, Delpher, PPN 832337900, accessed December 3, 2025, https://www.delpher.nl/."
citation_003,"“Spokane in Ashes,” <em>East Washingtonian</em> (Pomeroy, WA), August 10, 1889, 3, accessed December 3, 2025, https://washingtondigitalnewspapers.org/?a=d&amp;d=ESTWSHTN18890810.2.28."
citation_004,"<em>The Northwest Magazine</em>, April 1890, 14."
citation_005,"“Dutch and Flemish Colony at Springdale, Washington,” <em>De Volksstem</em> (De Pere, WI), dag ed., August 6, 1913, Roosevelt Study Center, PPN 331826631, accessed December 3, 2025, https://www.delpher.nl/."
citation_006,"John Fahey, “When the Dutch Owned Spokane,” <em>Pacific Northwest Quarterly</em> 72, no. 1 (1981): 2-10."
citation_007,"Jacob van Hinte, <em>Netherlanders in America: A Study of Emigration and Settlement in the Nineteenth and Twentieth Centuries in the United States of America</em> (Grand Rapids, MI: Baker Book House, 1985; originally published 1928)."
citation_008,"<em>Official Souvenir Program: The Pow Wow, June 16–21, 1913</em>, Eastern Washington University Archives, John F. Kennedy Memorial Library, Cheney, WA."
citation_009,"“Not Corinne.” <em>Idaho Tri-Weekly Statesman</em>, April 10, 1869, [2]."
citation_010,"“The Inland Empire: A Review of Its Features, Its Development and Its Resources. A Region.” <em>Morning Oregonian</em>, January 1, 1883, 4."
citation_011,"Michelle M. Murdock, “Polishing Up the Diamond Trade: How to Revitalize the Kimberley Process,” <em>Journal of Corporation Law</em> 46, no. 2 (2020): 463–81."
